NR_155332.1	Leucosporidium yakuticum CBS 8621 ITS region; from TYPE material
NR_155331.1	Lachancea nothofagi CBS 11611 ITS region; from TYPE material
NR_155330.1	Lachancea mirantina CBS 11717 ITS region; from TYPE material
NR_155329.1	Lipomyces anomalus CBS 6740 ITS region; from TYPE material
NR_155328.1	Leptosphaeria cirsii MFLUCC 14-1170 ITS region; from TYPE material
NR_155327.1	Lauriomyces ellipticus BCC 4007 ITS region; from TYPE material
NR_155326.1	Lauriomyces cylindricus BCC 18576 ITS region; from TYPE material
NR_155325.1	Lophodermium pini-taiwanensis BJTC 201603 ITS region; from TYPE material
NR_155324.1	Lactifluus umbonatus CAL 1241 ITS region; from TYPE material
NR_155323.1	Leptosphaeria ebuli MFLUCC 14-0828 ITS region; from TYPE material
NR_155322.1	Lactifluus tropicosinicus KUN F59627 ITS region; from TYPE material
NR_155321.1	Leucoagaricus asiaticus LAH 10012012 ITS region; from TYPE material
NR_155320.1	Leucoagaricus subcrystallifer HKAS 49373 ITS region; from TYPE material
NR_155319.1	Leucoagaricus truncatus HKAS 49288 ITS region; from TYPE material
NR_155318.1	Leucoagaricus subpurpureolilacinus HKAS 48285 ITS region; from TYPE material
NR_155317.1	Lasiodiplodia indica PAN 30202 ITS region; from TYPE material
NR_155316.1	Leptoxyphium glochidion IFRDCC 2651 ITS region; from TYPE material
NR_155315.1	Lactarius bisporus GENT FH12-160 ITS region; from TYPE material
NR_155314.1	Leucoagaricus tangerinus HKAS 50036 ITS region; from TYPE material
NR_155313.1	Lemonniera centrosphaera CCM F-149 ITS region; from TYPE material
NR_155312.1	Lactifluus subpruinosus KUN F73639 ITS region; from TYPE material
NR_155311.1	Lactifluus ambicystidiatus KUN F57008 ITS region; from TYPE material
NR_155310.1	Leucosporidium escuderoi CBS 12734 ITS region; from TYPE material
NR_155309.1	Leptosphaeria doliolum CBS 505.75 ITS region; from TYPE material
NR_155308.1	Lepiota himalayensis LAH 230810 ITS region; from TYPE material
NR_155307.1	Lichtheimia blakesleeana CBS 100.28 ITS region; from TYPE material
NR_155306.1	Lophiostoma versicolor HHUF 30448 ITS region; from TYPE material
NR_155248.1	Keissleriella cirsii MFLU 15-2900 ITS region; from TYPE material
NR_155247.1	Juglanconis pterocaryae MAFF 410079 ITS region; from TYPE material
NR_155246.1	Inaequalispora cylindrispora MUCL 48121 ITS region; from TYPE material
NR_155245.1	Inaequalispora longiseta MUCL 48321 ITS region; from TYPE material
NR_155244.1	Kuraishia ogatae CBS 10924 ITS region; from TYPE material
NR_155243.1	Kuraishia floccosa CBS 10307 ITS region; from TYPE material
NR_155242.1	Kuraishia cidri CBS 4241 ITS region; from TYPE material
NR_155241.1	Kodamaea nitidulidarum CBS 8491 ITS region; from TYPE material
NR_155240.1	Kodamaea kakaduensis CBS 8611 ITS region; from TYPE material
NR_155239.1	Kodamaea anthophila CBS 8494 ITS region; from TYPE material
NR_155238.1	Kockovaella calophylli CBS 8962 ITS region; from TYPE material
NR_155237.1	Kazachstania yakushimaensis CBS 8388 ITS region; from TYPE material
NR_155236.1	Kazachstania taianensis CBS 11405 ITS region; from TYPE material
NR_155235.1	Kazachstania solicola CBS 6904 ITS region; from TYPE material
NR_155234.1	Kazachstania slooffiae CBS 9733 ITS region; from TYPE material
NR_155233.1	Kazachstania pintolopesii CBS 2985 ITS region; from TYPE material
NR_155232.1	Kazachstania piceae CBS 7738 ITS region; from TYPE material
NR_155231.1	Kazachstania intestinalis CBS 11839 ITS region; from TYPE material
NR_155230.1	Kazachstania heterogenica CBS 2675 ITS region; from TYPE material
NR_155229.1	Kazachstania bromeliacearum CBS 7996 ITS region; from TYPE material
NR_155228.1	Kazachstania bovina CBS 9732 ITS region; from TYPE material
NR_155227.1	Kazachstania barnettii CBS 5648 ITS region; from TYPE material
NR_155226.1	Jaminaea angkorensis CBS 10918 ITS region; from TYPE material
NR_155225.1	[Candida] restingae CBS 8493 ITS region; from TYPE material
NR_155224.1	[Candida] oleophila CBS 2219 ITS region; from TYPE material
NR_155223.1	[Candida] loeiensis CBS 11899 ITS region; from TYPE material
NR_155222.1	[Candida] leandrae CBS 9735 ITS region; from TYPE material
NR_155221.1	Juncaceicola dactylidis MFLUCC 13-0759 ITS region; from TYPE material
NR_155220.1	Juncaceicola achilleae MFLUCC 13-0606 ITS region; from TYPE material
NR_155219.1	Keissleriella dactylidis MFLUCC 130751 ITS region; from TYPE material
NR_155218.1	Kuraishia piskuri NRRL YB-2544 ITS region; from TYPE material
NR_155217.1	Inocybe hainanensis HMJAU 26067 ITS region; from TYPE material
NR_155216.1	Kurtzmanomyces shapotouensis CBS 12707 ITS region; from TYPE material
NR_155215.1	Knoxdaviesia serotectus CMW 36768 ITS region; from TYPE material
NR_155214.1	[Candida] schatavii CBS 6452 ITS region; from TYPE material
NR_155213.1	Knoxdaviesia proteae CBS 486.88 ITS region; from TYPE material
NR_155212.1	Keissleriella yonaguniensis HHUF 30138 ITS region; from TYPE material
NR_155211.1	Keissleriella breviasca HHUF 27718 ITS region; from TYPE material
NR_155210.1	Kockovaella cucphuongensis JCM 10840 ITS region; from TYPE material
NR_155209.1	Kockovaella litseae JCM 10838 ITS region; from TYPE material
NR_155208.1	Kondoa thailandica JCM 10651 ITS region; from TYPE material
NR_145184.1	Penicillium taxi ITS region; from TYPE material
NR_137668.1	Teunomyces panamensis NRRL Y-27657 ITS region; from TYPE material
NR_130694.1	[Candida] duobushaemulonis CBS 7798 ITS region; from TYPE material
NR_119405.1	Tetraploa yakushimensis CBS 125435 ITS region; from TYPE material
NR_111306.1	Debaryomyces castellii MUCL 31240 ITS region; from TYPE material
NR_103582.1	Neurospora udagawae CBS 309.91 ITS region; from TYPE material
NR_077182.1	Priceomyces fermenticarens MUCL 30036 ITS region; from TYPE material
NR_077163.1	Neurospora tetraspora CBS 178.33 ITS region; from TYPE material
NR_153534.1	Embarria clematidis MFLUCC 14-0652 ITS region; from TYPE material
NR_148191.1	Cladosporium xanthochromaticum UTHSC DI-13-211 ITS region; from TYPE material
NR_155203.1	Hypomyces pseudocorticiicola JCM 12654 ITS region; from TYPE material
NR_155202.1	Hypomyces laeticolor JCM 10758 ITS region; from TYPE material
NR_155201.1	Hamigera avellanea var. alba NBRC 31667 ITS region; from TYPE material
NR_155200.1	Helminthosporium velutinum CBS 139923 ITS region; from TYPE material
NR_155199.1	Helminthosporium tiliae CBS 136907 ITS region; from TYPE material
NR_155198.1	Helminthosporium quercinum CBS 136921 ITS region; from TYPE material
NR_155197.1	Helminthosporium juglandinum CBS 136922 ITS region; from TYPE material
NR_155196.1	Helminthosporium hispanicum CBS 136917 ITS region; from TYPE material
NR_155195.1	Helminthosporium genistae CBS 142597 ITS region; from TYPE material
NR_155194.1	Helminthosporium austriacum CBS 139924 ITS region; from TYPE material
NR_155193.1	Harknessia malayensis ITS region; from TYPE material
NR_155192.1	Harknessia pellitae ITS region; from TYPE material
NR_155191.1	Harknessia platyphyllae ITS region; from TYPE material
NR_155190.1	Harknessia banksiae-repens ITS region; from TYPE material
NR_155189.1	Harknessia banksiigena ITS region; from TYPE material
NR_155188.1	Harknessia banksiae ITS region; from TYPE material
NR_155187.1	Harknessia communis ITS region; from TYPE material
NR_155186.1	Hazslinszkyomyces aptrootii CBS 483.95 ITS region; from TYPE material
NR_155185.1	Hypoxylon petriniae CBS 114746 ITS region; from TYPE material
NR_155184.1	Hypoxylon griseobrunneum CBS 331.73 ITS region; from TYPE material
NR_155183.1	[Kloeckera] taiwanica CBS 11434 ITS region; from TYPE material
NR_155182.1	Holtermanniella nyarrowii CBS 8804 ITS region; from TYPE material
NR_155181.1	Hanseniaspora pseudoguilliermondii CBS 8772 ITS region; from TYPE material
NR_155180.1	Hannaella pagnoccae CBS 11142 ITS region; from TYPE material
NR_155179.1	Holtermanniella festucosa CBS 10162 ITS region; from TYPE material
NR_155178.1	[Candida] wangnamkhiaoensis CBS 11695 ITS region; from TYPE material
NR_155177.1	Hawksworthiomyces hibbettii CMW 37663 ITS region; from TYPE material
NR_155176.1	Hawksworthiomyces taylorii CMW 20741 ITS region; from TYPE material
NR_155175.1	Helvella tinta HKAS 82560 ITS region; from TYPE material
NR_155174.1	Hypoxylon neosublenormandii MFLU 15-1193 ITS region; from TYPE material
NR_155173.1	Hypoxylon pseudefendleri MFLU 15-1200 ITS region; from TYPE material
NR_155172.1	Helvella crispoides HKAS 90535 ITS region; from TYPE material
NR_155171.1	Helvella bachu HKAS 88105 ITS region; from TYPE material
NR_155170.1	Helminthosporium aquaticum HKAS 89692 ITS region; from TYPE material
NR_155169.1	Hypomyces subglobosus CBS 543.86 ITS region; from TYPE material
NR_155168.1	Hypomyces ellipsosporus CBS 696.86 ITS region; from TYPE material
NR_155167.1	Hygrocybe rubroalba MCVE 28634 ITS region; from TYPE material
NR_155166.1	Helvella involuta HKAS 74281 ITS region; from TYPE material
NR_155165.1	Helvella pseudolacunosa HKAS 87594 ITS region; from TYPE material
NR_155164.1	Hygrophorus exiguus TURA 190791 ITS region; from TYPE material
NR_155163.1	Harknessia arctostaphyli CPC 20034 ITS region; from TYPE material
NR_155162.1	Huntiella chlamydoformis CMW 36932 ITS region; from TYPE material
NR_155161.1	Homortomyces tamaricis MFLUCC 13-0441 ITS region; from TYPE material
NR_155160.1	Hypoxylon trugodes MUCL 54794 ITS region; from TYPE material
NR_155159.1	Hypoxylon aeruginosum MUCL 54620 ITS region; from TYPE material
NR_155158.1	Hypoxylon ochraceum MUCL 54625 ITS region; from TYPE material
NR_155157.1	Hypoxylon isabellinum MUCL 53308 ITS region; from TYPE material
NR_155156.1	Hypoxylon lateripigmentum MUCL 53304 ITS region; from TYPE material
NR_155155.1	Hypoxylon addis MUCL 52797 ITS region; from TYPE material
NR_155154.1	Hypoxylon liviae CBS 115282 ITS region; from TYPE material
NR_155153.1	Hypoxylon papillatum ATCC 58729 ITS region; from TYPE material
NR_155152.1	Hypoxylon rubiginosum MUCL 52887 ITS region; from TYPE material
NR_155151.1	Hyphodiscus brachyconius CBS 700.73 ITS region; from TYPE material
NR_155150.1	Hannaella sinensis var. lactis CBS 7237 ITS region; from TYPE material
NR_155149.1	Gamsia columbina CBS 233.66 ITS region; from TYPE material
NR_155148.1	Gongronella brasiliensis URM 7487 ITS region; from TYPE material
NR_155147.1	Groenewaldozyma tartarivorans CBS 7955 ITS region; from TYPE material
NR_155146.1	Glaciozyma watsonii CBS 10986 ITS region; from TYPE material
NR_155145.1	Geotrichum ghanense CBS 11010 ITS region; from TYPE material
NR_155144.1	Geotrichum carabidarum CBS 9891 ITS region; from TYPE material
