NR_155392.1	Microglossum cyanobasis AH 43985 ITS region; from TYPE material	1962185	Eukaryota,Ascomycota,Leotiomycetes,Helotiales,,Microglossum,Microglossum cyanobasis
NR_155391.1	Meristemomyces arctostaphylos ITS region; from TYPE material	1871376	Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Meristemomyces,Meristemomyces arctostaphylos
NR_155390.1	Myrothecium uttaraditense MFLUCC 11-0632 ITS region; from TYPE material	1812726	Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Myrothecium,Myrothecium uttaraditense
NR_155389.1	Myrothecium chiangmaiense MFLUCC 11-0506 ITS region; from TYPE material	1814019	Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Myrothecium,Myrothecium chiangmaiense
NR_155388.1	Myrothecium thailandicum MFLU 15-1180 ITS region; from TYPE material	1812725	Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Myrothecium,Myrothecium thailandicum
NR_155387.1	Myxospora musae CBS 265.71 ITS region; from TYPE material	1859680	Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Myxospora,Myxospora musae
NR_155386.1	Myxospora crassiseta CBS 731.83 ITS region; from TYPE material	1859677	Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Myxospora,Myxospora crassiseta
NR_155385.1	Memnoniella putrefolia CBS 101177 ITS region; from TYPE material	1859673	Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Memnoniella,Memnoniella putrefolia
NR_155384.1	Memnoniella pseudonilagirica CBS 136405 ITS region; from TYPE material	1859672	Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Memnoniella,Memnoniella pseudonilagirica
NR_155383.1	Memnoniella humicola CBS 463.74 ITS region; from TYPE material	1859669	Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Memnoniella,Memnoniella humicola
NR_155382.1	Myrmecridium pulvericola DAOM 250405 ITS region; from TYPE material	1960304	Eukaryota,Ascomycota,Sordariomycetes,Myrmecridiales,Myrmecridiaceae,Myrmecridium,Myrmecridium pulvericola
NR_155381.1	Murispora cicognanii MFLUCC 14-0953 ITS region; from TYPE material	1762046	Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Amniculicolaceae,Murispora,Murispora cicognanii
NR_155380.1	Murispora medicaginicola MFLUCC 13-0762 ITS region; from TYPE material	1762050	Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Amniculicolaceae,Murispora,Murispora medicaginicola
NR_155379.1	Murispora fagicola MFLUCC 13-0600 ITS region; from TYPE material	1762047	Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Amniculicolaceae,Murispora,Murispora fagicola
NR_155378.1	Montagnula scabiosae MFLUCC 14-0954 ITS region; from TYPE material	1743216	Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Montagnula,Montagnula scabiosae
NR_155377.1	Montagnula bellevaliae MFLUCC 14-0924 ITS region; from TYPE material	1743217	Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Montagnula,Montagnula bellevaliae
NR_155376.1	Myrmecridium spartii ITS region; from TYPE material	1654588	Eukaryota,Ascomycota,Sordariomycetes,Myrmecridiales,Myrmecridiaceae,Myrmecridium,Myrmecridium spartii
NR_155375.1	Microdochium seminicola KAS 3576 ITS region; from TYPE material	1682390	Eukaryota,Ascomycota,Sordariomycetes,Xylariales,Microdochiaceae,Microdochium,Microdochium seminicola
NR_155374.1	Microdochium fisheri CBS 242.91 ITS region; from TYPE material	1682387	Eukaryota,Ascomycota,Sordariomycetes,Xylariales,Microdochiaceae,Microdochium,Microdochium fisheri
NR_155373.1	Microdochium citrinidiscum CBS 109067 ITS region; from TYPE material	1682385	Eukaryota,Ascomycota,Sordariomycetes,Xylariales,Microdochiaceae,Microdochium,Microdochium citrinidiscum
NR_155372.1	Microdochium colombiense CBS 624.94 ITS region; from TYPE material	1682386	Eukaryota,Ascomycota,Sordariomycetes,Xylariales,Microdochiaceae,Microdochium,Microdochium colombiense
NR_155371.1	Myrothecium cylindrosporum MFLUCC 11-0392 ITS region; from TYPE material	1814018	Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Myrothecium,Myrothecium cylindrosporum
NR_155370.1	Myrmecridium hiemale CBS 141017 ITS region; from TYPE material	1819261	Eukaryota,Ascomycota,Sordariomycetes,Myrmecridiales,Myrmecridiaceae,Myrmecridium,Myrmecridium hiemale
NR_155369.1	[Candida] rancensis CBS 8174T ITS region; from TYPE material	208486	Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,[Candida] rancensis
NR_155368.1	Malassezia arunalokei NCCPF 127130 ITS region; from TYPE material	1514897	Eukaryota,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,Malassezia arunalokei
NR_155367.1	Microglossum parvisporum SAV 10998 ITS region; from TYPE material	1633159	Eukaryota,Ascomycota,Leotiomycetes,Helotiales,,Microglossum,Microglossum parvisporum
NR_155366.1	Melanconiella hyperopta var. orientalis CBS 131705 ITS region; from TYPE material	1247921	Eukaryota,Ascomycota,Sordariomycetes,Diaporthales,Melanconiellaceae,Melanconiella,Melanconiella hyperopta
NR_155365.1	Monilochaetes infuscans CBS 869.96 ITS region; from TYPE material	593267	Eukaryota,Ascomycota,Sordariomycetes,Glomerellales,Australiascaceae,Monilochaetes,Monilochaetes infuscans
